Infosatz;Material;Lieferant;LKA;Kurztext;UrL;Lieferantenmaterialnr.
5300012991;5932;77020;;;DE;
5300012996;6904;77020;;;DE;
5300013101;4819;77020;;;DE;
5300013102;5270;77020;;;;
5300013105;5507;77020;;;DE;
5300013149;5946;77020;;;;
5300013230;6438;77020;;;DE;
5300013352;6701;77020;;;DE;
5300014084;6642;77020;;;;
5300014137;6824;77020;;;;
5300014139;6092;77020;;;;
5300014226;6563;77020;;;DE;
5300014275;6067;77020;;;DE;
5300014483;6411;77020;;;DE;
5300014485;5036;77020;;;;
5300014565;5014;77020;;;DE;
5300014568;6670;77020;;;DE;
5300014850;4848;77020;;;DE;
5300015098;5015;77020;;;DE;
5300015166;6887;77020;;;DE;
5300015169;6944;77020;;;DE;
5300015808;5750;77020;;;DE;
5300015831;6057;77020;;;;
5300015940;4617;77020;;;DE;
5300016015;8861;77020;;;DE;
5300016121;6763;77020;;;DE;
5300016182;6912;77020;;;DE;
5300016472;3008;77020;;;DE;
5300016853;4444;77020;;;;
5300016908;6913;77020;;;DE;
5300017015;6625;77020;;;;
5300017198;4469;77020;;;DE;
5300017336;5514;77020;;;;
5300017400;3252;77020;;;;
5300017401;6449;77020;;;DE;
5300017414;5084;77020;;;DE;
5300017415;6439;77020;;;DE;
5300017431;6349;77020;;;DE;
5300017479;3505;77020;;;DE;
5300017800;6880;77020;;;DE;
5300017854;5052;77020;;;DE;
5300017976;6839;77020;;;;
5300018733;9711;77020;;;DE;
5300019515;6931;77020;;;DE;
5300019516;5309;77020;;;DE;
5300019636;5070;77020;;;DE;
5300019644;5119;77020;;;DE;
5300019984;5149;77020;;;DE;
5300020053;5620;77020;;;DE;
5300020343;5996;77020;;;DE;
5300020650;6222;77020;;;DE;
5300020651;4519;77020;;;DE;
5300020676;5249;77020;;;;
5300020896;8838;77020;;;DE;
5300021636;6084;77020;;;DE;
5300022813;6609;77020;;;DE;
5300022952;5516;77020;;;DE;
5300023635;4586;77020;;;DE;
5300023683;3147;77020;;;DE;
5300023958;3144;77020;;;;
5300025031;3633;77020;;;DE;
5300025384;5191;77020;;;DE;
5300025964;4573;77020;;;;
5300025965;4866;77020;;;;
5300025966;4822;77020;;;;
5300025967;5264;77020;;;;
5300026141;6376;77020;;;DE;
5300026255;5583;77020;;;;
5300026310;8890;77020;;;DE;
5300026355;6999;77020;;;;
5300026435;5832;77020;;;DE;
5300026798;6967;77020;;;;
5300027857;5265;77020;;;DE;
5300027946;4743;77020;;;DE;
5300028331;4419;77020;;;DE;
5300029614;6205;77020;;;;
5300029800;3327;77020;;;;
5300029844;4784;77020;;;;
5300030513;5420;77020;;;DE;
5300030787;8879;77020;;;;
5300031183;3584;77020;;;;
5300031194;5970;77020;;;;
5300031200;5228;77020;;;;
5300031267;5680;77020;;;;
5300031400;3509;77020;;;DE;
5300031402;6991;77020;;;;
5300031403;6857;77020;;;;
5300031461;6687;77020;;;DE;
5300031658;5638;77020;;;;
5300032272;4844;77020;;;DE;
5300032280;6794;77020;;;;
5300032429;4845;77020;;;DE;
5300033474;5647;77020;;;;
5300033589;6626;77020;;;;
5300033750;5159;77020;;;;
5300034642;5892;77020;;;;
5300034895;5863;77020;;;;
5300034908;4803;77020;;;DE;
5300035198;4796;77020;;;;
5300035510;5649;77020;;;;
5300035914;6782;77020;;;;
5300036013;4856;77020;;;DE;
5300036018;6992;77020;;;;
5300036072;5663;77020;;;;
5300036092;6905;77020;;;;
5300036620;5890;77020;;;;
5300036848;6128;77020;;;;
5300036849;4969;77020;;;;
5300036870;4792;77020;;;;
5300036982;5641;77020;;;;
5300037102;5930;77020;;;;
5300037652;3239;77020;;;;
5300037805;8302;77020;;;;
5300037806;6921;77020;;;;
5300038191;4545;77020;;;;
5300038410;6948;77020;;;;
5300038780;4814;77020;;;;
5300038786;5053;77020;;;;
5300039124;6452;77020;;;;
5300039614;4826;77020;;;;
5300039616;4709;77020;;;;
5300040164;6605;77020;;;;
5300040214;6761;77020;;;;
5300040481;6277;77020;;;;
5300040560;5903;77020;;;;
5300040567;6463;77020;;;;
5300040580;5237;77020;;;;
5300040807;6933;77020;;;;
5300041227;7128;77020;;;;
5300041329;4540;77020;;;;
5300041367;5745;77020;;;DE;
5300041611;6572;77020;;;;
5300041720;6617;77020;;;;
