Material;Werk;BewertArt;Materialkurztext;Ltz. Änd;MArt;Warengrp;BME;EKG;ABC;DMk;BewKl;Prs;Preis;Währg;pro;Angelegt;Preisänd.;_1
5749;2250;;(P) Novoperm Orange H 5 G 70;14.10.2025;ROH;2012;KG;221;D;PD;3000;V;55374,23;USD;1000;ROLF;;
5749;2310;;(P) Novoperm Orange H 5 G 70;14.10.2025;ROH;2012;KG;234;D;PD;3000;V;1152739,5;MXN;1000;ROLF;;
5749;2830;;(P) Novoperm Orange H 5 G 70;14.10.2025;ROH;2012;KG;296;D;PD;3000;V;424778,83;CNY;1000;ROLF;;
5749;2850;;(P) Novoperm Orange H 5 G 70;14.10.2025;ROH;2012;KG;296;D;PD;3000;V;424778,83;CNY;1000;ROLF;;
5749;300;;(P) Novoperm Orange H 5 G 70;14.10.2025;ROH;2012;KG;30;A;V1;3000;V;32269,97;EUR;1000;ROLF;;
5749;800;;(P) Novoperm Orange H 5 G 70;14.10.2025;ROH;2012;KG;80;A;V2;3000;V;32255,37;EUR;1000;ROLF;;
5749;810;;(P) Novoperm Orange H 5 G 70;14.10.2025;ROH;2012;KG;999;B;PD;3000;V;0;EUR;1000;ROLF;;
5750;200;;Hostaperm Rosa E;30.09.2025;ROH;2013;KG;20;C;PD;3000;V;51527,49;EUR;1000;ROLF;;
5750;300;;Hostaperm Rosa E;30.09.2025;ROH;2013;KG;30;C;PD;3000;V;52557,9;EUR;1000;ROLF;;
5750;800;;Hostaperm Rosa E;30.09.2025;ROH;2013;KG;80;C;V1;3000;V;51708,88;EUR;1000;ROLF;;
5750;810;;Hostaperm Rosa E;30.09.2025;ROH;2013;KG;999;B;PD;3000;V;0;EUR;1000;ROLF;;
5751;200;;Paliocrom Orange L 2804;25.09.2025;ROH;2066;KG;20;A;PD;3000;V;120939,7;EUR;1000;SZEGEDI;;
5751;2100;;Paliocrom Orange L 2804;25.09.2025;ROH;2066;KG;999;A;PD;3000;V;112450;EUR;1000;SZEGEDI;;
5751;2310;;Paliocrom Orange L 2804;25.09.2025;ROH;2066;KG;234;D;PD;3000;V;2837596;MXN;1000;SZEGEDI;;
5751;2830;;Paliocrom Orange L 2804;25.09.2025;ROH;2066;KG;296;D;PD;3000;V;0;CNY;1000;SZEGEDI;;
5751;2850;;Paliocrom Orange L 2804;25.09.2025;ROH;2066;KG;296;D;PD;3000;V;0;CNY;1000;SZEGEDI;;
5751;300;;Paliocrom Orange L 2804;25.09.2025;ROH;2066;KG;30;A;PD;3000;V;106911,5;EUR;1000;SZEGEDI;;
5752;200;;(Z) Luconyl Orange 2416;03.06.2025;ROH;2072;KG;20;D;PD;3000;V;8849,84;EUR;1000;ROLF;;
5752;300;;(Z) Luconyl Orange 2416;03.06.2025;ROH;2072;KG;30;D;ND;3000;V;9120;EUR;1000;ROLF;;
5753;200;;(Z) RILSAN ESY ROUGE X 7349;03.06.2025;ROH;2090;KG;9;Z;PD;3000;V;36176,47;EUR;1000;ROLF;;
5753;300;;(Z) RILSAN ESY ROUGE X 7349;03.06.2025;ROH;2090;KG;9;Z;ND;3000;V;17990;EUR;1000;ROLF;;
5754;200;;(P) Cinilex DPP Red SR 2 P;30.09.2025;ROH;2013;KG;9;Z;ND;3000;V;14600;EUR;1000;SZEGEDI;;
5754;300;;(P) Cinilex DPP Red SR 2 P;30.09.2025;ROH;2013;KG;9;Z;ND;3000;V;22000;EUR;1000;SZEGEDI;;
5754;800;;(P) Cinilex DPP Red SR 2 P;30.09.2025;ROH;2013;KG;9;Z;ND;3000;V;24140,5;EUR;1000;SZEGEDI;;
5755;200;;(U) Cinilex DPP Red SR 1 C;03.06.2025;ROH;2013;KG;9;Z;ND;3000;V;25000;EUR;1000;SZEGEDI;;
5755;300;;(U) Cinilex DPP Red SR 1 C;03.06.2025;ROH;2013;KG;9;Z;ND;3000;V;0;EUR;1000;SZEGEDI;;
5756;200;;(Z) LUCONYL ORANGE 3053;03.06.2025;ROH;2072;KG;9;Z;ND;3000;V;3000;EUR;1000;ROLF;;
5756;300;;(Z) LUCONYL ORANGE 3053;03.06.2025;ROH;2072;KG;9;Z;ND;3000;V;3000;EUR;1000;ROLF;;
5757;200;;Novoperm Rot HF 3 S 70;30.09.2025;ROH;2013;KG;20;E;PD;3000;V;67792,18;EUR;1000;ROLF;;
5757;2250;;Novoperm Rot HF 3 S 70;30.09.2025;ROH;2013;KG;221;D;PD;3000;V;59017,2;USD;1000;ROLF;;
5757;300;;Novoperm Rot HF 3 S 70;30.09.2025;ROH;2013;KG;30;E;PD;3000;V;65786,92;EUR;1000;ROLF;;
5757;800;;Novoperm Rot HF 3 S 70;30.09.2025;ROH;2013;KG;80;E;PD;3000;V;73378,4;EUR;1000;ROLF;;
5758;200;;(Z) Radglo PS 35 Red;03.06.2025;ROH;2090;KG;20;C;PD;3000;V;27199,61;EUR;1000;SZEGEDI;;
5758;300;;(Z) Radglo PS 35 Red;03.06.2025;ROH;2090;KG;30;C;PD;3000;V;0;EUR;1000;SZEGEDI;;
5759;200;;(U) LUCONYL ROT 2817;03.06.2025;ROH;2073;KG;9;Z;ND;3000;V;3000;EUR;1000;ROLF;;
5759;300;;(U) LUCONYL ROT 2817;03.06.2025;ROH;2073;KG;9;Z;ND;3000;V;3000;EUR;1000;ROLF;;
5760;800;;(U) Sinloihi FZ 6011;30.09.2025;ROH;2090;KG;80;D;PD;3000;V;16600;EUR;1000;SZEGEDI;;
5761;190;;(Z) Decosoft violett 20/25;03.06.2025;ROH;2090;KG;999;;PD;3000;V;74,5;EUR;1;SZEGEDI;;
5761;200;;(Z) Decosoft violett 20/25;03.06.2025;ROH;2090;KG;9;Z;PD;3000;V;77480;EUR;1000;SZEGEDI;;
5761;300;;(Z) Decosoft violett 20/25;03.06.2025;ROH;2090;KG;9;Z;ND;3000;V;0;EUR;1000;SZEGEDI;;
5762;200;;(U) Ink Jet Magenta E 02 (VP 2621);03.06.2025;ROH;2013;KG;15;D;PD;3000;V;58684,72;EUR;1000;SZEGEDI;;
5762;300;;(U) Ink Jet Magenta E 02 (VP 2621);03.06.2025;ROH;2013;KG;30;D;PD;3000;V;0;EUR;1000;SZEGEDI;;
5763;200;;Lysopac Orange 6820 B;30.09.2025;ROH;2012;KG;20;D;PD;3000;V;67847,03;EUR;1000;SZEGEDI;;
5763;2840;;Lysopac Orange 6820 B;30.09.2025;ROH;2012;KG;284;;PD;3000;V;0;CNY;1;SZEGEDI;;
5763;2850;;Lysopac Orange 6820 B;30.09.2025;ROH;2012;KG;296;D;PD;3000;V;0;CNY;1000;SZEGEDI;;
5763;300;;Lysopac Orange 6820 B;30.09.2025;ROH;2012;KG;30;D;PD;3000;V;0;EUR;1000;SZEGEDI;;
5763;800;;Lysopac Orange 6820 B;30.09.2025;ROH;2012;KG;80;;PD;3000;V;0;EUR;1;SZEGEDI;;
5764;200;;(U) Sartomer CN 890;03.06.2025;ROH;1056;KG;20;D;PD;3003;V;0;EUR;1000;SZEGEDI;;
5764;300;;(U) Sartomer CN 890;03.06.2025;ROH;1056;KG;30;D;PD;3003;V;0;EUR;1000;SZEGEDI;;
5765;200;;Xirallic NXT M260-30 SW Leonis Gold;27.08.2025;ROH;2041;KG;20;D;PD;3000;V;206985,18;EUR;1000;SZEGEDI;;
5765;2100;;Xirallic NXT M260-30 SW Leonis Gold;27.08.2025;ROH;2041;KG;210;D;PD;3000;V;216250;EUR;1000;SZEGEDI;;
5765;2300;;Xirallic NXT M260-30 SW Leonis Gold;27.08.2025;ROH;2041;KG;230;D;PD;3000;V;0;MXN;1000;SZEGEDI;;
5765;2310;;Xirallic NXT M260-30 SW Leonis Gold;27.08.2025;ROH;2041;KG;234;D;PD;3000;V;0;MXN;1000;SZEGEDI;;
5765;2830;;Xirallic NXT M260-30 SW Leonis Gold;27.08.2025;ROH;2041;KG;296;D;PD;3000;V;0;CNY;1000;SZEGEDI;;
5765;2850;;Xirallic NXT M260-30 SW Leonis Gold;27.08.2025;ROH;2041;KG;296;D;PD;3000;V;0;CNY;1000;SZEGEDI;;
5765;300;;Xirallic NXT M260-30 SW Leonis Gold;27.08.2025;ROH;2041;KG;30;D;PD;3000;V;0;EUR;1000;SZEGEDI;;
5766;200;;(Z) Bioban O 45;03.06.2025;ROH;5050;KG;15;Z;ND;3004;V;0;EUR;1000;SZEGEDI;;
5766;300;;(Z) Bioban O 45;03.06.2025;ROH;5050;KG;30;Z;ND;3004;V;0;EUR;1000;SZEGEDI;;
5767;200;;(U) SyMic E001;30.09.2025;ROH;2048;KG;20;D;PD;3000;V;0;EUR;1000;SZEGEDI;;
5767;800;;(U) SyMic E001;30.09.2025;ROH;2048;KG;80;D;PD;3000;V;24700;EUR;1000;SZEGEDI;;
5768;200;;(X) Tego Dispers 672;03.06.2025;ROH;5010;KG;15;D;ND;3004;V;22443,44;EUR;1000;SZEGEDI;;
5768;300;;(X) Tego Dispers 672;03.06.2025;ROH;5010;KG;30;D;PD;3004;V;0;EUR;1000;SZEGEDI;;
5769;200;;(U) Q-Lite 1-1130;03.06.2025;ROH;5020;KG;13;Z;ND;3004;V;33000;EUR;1000;SZEGEDI;;
5769;300;;(U) Q-Lite 1-1130;03.06.2025;ROH;5020;KG;30;Z;ND;3004;V;0;EUR;1000;SZEGEDI;;
5770;200;;(Z) RILSAN ES MARRON 5110 MAC;03.06.2025;ROH;2090;KG;9;Z;ND;3000;V;14800;EUR;1000;ROLF;;
5770;300;;(Z) RILSAN ES MARRON 5110 MAC;03.06.2025;ROH;2090;KG;9;Z;ND;3000;V;14800;EUR;1000;ROLF;;
5771;200;;(Z) Pyrisma T40-21 SW Color Space Red;15.09.2025;ROH;2043;KG;20;A;PD;3000;V;57195,67;EUR;1000;SZEGEDI;;
