Lieferant;Name des Lieferanten;Straße;Lnd;PLZ;Ort;Gruppe;Suchbegriff;S;SF;LöVm;CPD-Konto;EkOr;Bezeichnung;ZBed;IncTm;Inco. 2;S_1;L;MindWert;Währ.;Verkäufer;Telefon;EkOr_2;Anzahl
64683;Merck Eurolab GmbH;Billwerder Ring 10;DE;21035;Hamburg;1;MERCK EURO;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64699;BYK Paul N. Gardner;;US;;Chicago, IL;1;PAUL GARDN;;;;;1000;Zentraleinkauf;33;DDU;;;;0;USD;;;;1
64705;Nordeko Safety eK;Brookstieg 19;DE;22145;Stapelfeld;1;NORDEKO;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64708;Gärtner Internationale Möbel;Große Bleichen 23;DE;20354;Hamburg;1;GÄRTNER;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
64712;Helm AG;Nordkanalstraße 28;DE;20029;Hamburg;1;HELM;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64715;Davis Instruments;625 East Bunker Court;US;60061-1844;Vernon Hills, Illinois;1;(L) DAVIS;;;;;1000;Zentraleinkauf;39;DDP;;;;0;USD;;;;1
64719;Venator Materials UK Ltd;The Wilton Centre, Wilton;GB;TS10 4RF;Redcar;1;VENATOR MA;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64730;Standard Plaque, Inc.;17271 Francis St.;US;48122;Melvindale, MI;1;STANDARD P;;;;;1000;Zentraleinkauf;67;EXW;;;;0;USD;Bill Barcia;313;;1
64741;Ciret GmbH;Platz der Republik 6-8;DE;42107;Wuppertal;1;CIRET;;;;;1000;Zentraleinkauf;31;DDP;ab 250 €;;;150;EUR;;;;1
64756;Emptmeyer GmbH;Senfdamm 28;DE;49152;Bad Essen;1;EMPTMEYER;;;;;1000;Zentraleinkauf;90;DDP;;;;0;EUR;;;;1
64764;Motor4 GmbH & Co.KG;Friedrich-Ebert-Str. 4;DE;34119;Kassel;1;MOTOR4;;;;;1000;Zentraleinkauf;90;DDP;;;;0;EUR;;;;1
64765;Produkt Idee GmbH & Co. KG;Graf-Adolf-Str. 114;DE;42119;Wuppertal;1;PRODUKT;;;;;1000;Zentraleinkauf;200;DDP;;;;0;EUR;;;;1
64779;Hobum Oleochemicals GmbH;Konsul-Ritter-Strasse 10;DE;21079;Hamburg;1;HOBUM;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64787;JOWI Produktions- u. Vertriebs GmbH;Untergrafendorf 70;AT;3071;Böheimkirchen;1;JOWI;;;;;1000;Zentraleinkauf;90;UN;;;;0;EUR;;;;1
64797;Konica Minolta IJ Technologies, Inc;No. 1 Sakura-machi, Hino-shi,;JP;191-8511;Tokyo, 191-8511;1;KONICA;;;;;1000;Zentraleinkauf;39;FOB;Japan;;;0;USD;;;;1
64799;Malewicz & Sohn GmbH & Co.KG;Walter-reitag-Str. 14;DE;42899;Remscheid;1;MALEWICZ;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;Tanja Gürtner;;;1
64806;Audi Zentrum Hamburg GmbH;Kollaustr. 41-63;DE;22529;Hamburg;1;AUDI;;;;;1000;Zentraleinkauf;;;;;;0;EUR;;;;1
64810;TCI  International Logistics GmbH;Afrikastrasse 2;DE;20457;Hamburg;5;(L) TCI;;;;;1000;Zentraleinkauf;1;EXW;;;;0;EUR;;;;1
64814;Julius Hoesch GmbH & Co.KG;Birkesdorfer Str. 5;DE;52353;Düren-Hoven;1;HOESCH;;;;;1000;Zentraleinkauf;39;CPT;Hamburg;;;0;EUR;;;;1
64835;Polygon Chemie AG;Solothurnerstr. 121;CH;4601;Olten;1;POLYGON;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64858;ID-Ausweissysteme GmbH;Giesenheide 40;DE;40724;Hilden;1;ID;;;;;1000;Zentraleinkauf;31;EXW;;;;0;EUR;;;;1
64862;Kreidezeit Naturfarben GmbH;Cassemühle 3;DE;31196;Sehlem;1;KREIDEZEIT;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64863;Q-Lab;In den Hallen 30;DE;66115;Saarbrücken;1;Q-LAB;;;;;1000;Zentraleinkauf;31;UN;;;;0;EUR;;;;1
64871;Printas Kalenderverlag GmbH;In der Marsch 6;DE;22453;Hamburg;1;PRINTAS;;;;;1000;Zentraleinkauf;31;UN;;;;0;EUR;;;;1
64876;Haug GmbH & Co.KG;Friedrich-List-Str. 18;DE;70771;Leinf.-Echterdingen;1;HAUG;;;;;1000;Zentraleinkauf;39;DAP;;;;0;EUR;;;;1
64879;Univar Solutions GmbH;Hinsbecker Löh 10 c;DE;45257;Essen;1;UNIVAR;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64895;xxx Mitsui & Co. Deutschland GmbH;Berliner Allee 52;DE;40212;Düsseldorf;1;(L) MITSUI;X;99;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64896;xxx H. Osthoff-Petrasch GmbH & Co.;Rugenbarg 63 a;DE;22848;Norderstedt;1;(L) OSTHOF;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64897;xxx Kuhmichel Abrasiv GmbH;Am Rosenbaum 22;DE;40882;Ratingen;1;(L) KUHMIC;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64898;Datapaq GmbH;Valdorfer Str. 100;DE;32602;Vlotho;1;DATAPAQ;;;;;1000;Zentraleinkauf;39;EXW;;;;0;EUR;;;;1
64900;Bodo Möller Chemie GmbH;Senefelderstr. 176;DE;63069;Offenbach;1;MÖLLER;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64914;Ecco Finishing AB;Box 93;SE;53222;Skara;1;ECCO;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64915;Binks U.K. Ltd;Ringwood Road;GB;BH11 9LH;Bournemouth;1;BINKS U.K.;;;;;1000;Zentraleinkauf;39;FH;;;;0;EUR;;;;1
